N048.26.48.5289996 W004.24.38.1240 ACB
N048.26.46.8809988 W004.24.45.7120008 Hangars
N048.26.44.0549988 W004.24.56.0700 P - Secondary
N048.26.38.7750012 W004.25.04.4270004 TWR
N048.26.38.1030 W004.25.06.8369988 Fret
N048.26.35.8829988 W004.25.11.8620012 Terminal
N048.26.35.3829984 W004.25.21.2580012 1S
N048.26.36.8279988 W004.25.22.1930004 1N
N048.26.35.7560016 W004.25.19.7450004 2
N048.26.37.9889988 W004.25.19.3670004 3N
N048.26.36.3099984 W004.25.18.1539984 3S
N048.26.39.4040004 W004.25.18.2539992 4
N048.26.37.5510012 W004.25.16.6299996 4AS
N048.26.39.9519996 W004.25.17.2859988 4AN
N048.26.40.4620008 W004.25.15.4509996 5
N048.26.40.6250016 W004.25.14.2209984 6
N048.26.39.3969984 W004.25.13.8820008 8A
N048.26.38.2729992 W004.25.13.3479984 7A
N048.26.39.1200 W004.25.12.3020004 7
N048.26.39.1120008 W004.25.09.9140016 8
N048.26.43.9839996 W004.25.03.3160008 9
N048.26.44.1380004 W004.25.02.4809988 10
N048.26.44.3069988 W004.25.01.8130008 11
N048.26.45.0600 W004.25.01.5399984 Q2
N048.26.46.7300004 W004.24.57.8300004 Q3
N048.26.45.8400012 W004.25.01.5899988 Q4
N048.26.44.5170012 W004.25.00.6250008 12
N048.26.44.7280008 W004.24.59.9199984 13
N048.26.45.3699996 W004.24.59.3660016 14
N048.26.45.2230008 W004.24.57.7839996 15
N048.26.45.5640 W004.24.55.9540008 16
N048.26.45.9279996 W004.24.54.2880 17
N048.26.46.2500016 W004.24.52.8210 18
