N049.10.48.4539996 W000.27.45.8920008 A1

N049.10.55.4310012 W000.27.32.8070016 A

N049.10.51.3099984 W000.27.31.0050 H

N049.10.46.4949984 W000.27.16.9250004 H

N049.10.40.8439992 W000.27.08.2400004 H

N049.10.32.6560008 W000.26.53.7640008 H3

N049.10.44.3610012 W000.27.19.3790016 H2

N049.10.47.8800012 W000.27.27.0299988 H1

N049.10.16.8430008 W000.27.13.3419996 X

N049.10.42.0290004 W000.26.44.3910012 X

N049.10.27.1229988 W000.26.57.2449992 X

N049.10.27.6390012 W000.26.58.4900016 X

N049.10.29.9510004 W000.27.03.5280 X

N049.10.29.4980016 W000.27.02.5319988 X

N049.10.32.2370004 W000.27.08.4520008 X

N049.10.33.3459984 W000.27.10.8190008 X

N049.10.36.7269996 W000.27.24.0990012 X

N049.10.37.7619996 W000.27.23.2260012 X

N049.10.48.0389988 W000.27.42.4410012 X

N049.10.47.2350 W000.27.40.5560016 X

N049.10.39.2369988 W000.27.23.4650016 X

N049.10.39.8740008 W000.27.24.9360012 X

N049.10.37.7990004 W000.27.20.3810004 X

N049.10.36.8500008 W000.27.18.2109996 X

N049.10.36.4580004 W000.26.55.2350004 X

N049.10.40.9140012 W000.26.46.7139984 X

N049.10.30.4039992 W000.27.07.2110016 X

N049.10.52.9029984 W000.27.57.7710 X

N049.10.54.0090012 W000.27.57.8289996 X

N049.10.31.2560004 W000.27.05.3349984 X

N049.10.36.0459984 W000.26.56.0910012 X

N049.10.23.0779992 W000.27.01.1270016 X

N049.10.24.6569988 W000.26.58.0779996 X

N049.10.37.0369992 W000.26.33.9169992 X

N049.10.17.4560016 W000.27.12.1039992 X

N049.10.22.2279996 W000.27.02.7219996 X

N049.10.25.6320012 W000.26.56.1890004 X

N049.10.35.7309984 W000.26.36.3429996 X

N049.10.18.2110008 W000.27.10.6520004 X

N049.10.21.3260016 W000.27.04.6280016 X

N049.10.26.4619992 W000.26.54.5970012 X

N049.10.34.2950016 W000.26.39.4580004 X
