N048.04.10.9520004 W001.43.16.7239992 A
N048.04.12.5280012 W001.43.27.0580008 B
N048.04.15.1550004 W001.43.51.2519988 C
N048.04.18.3609984 W001.44.08.6370 D
N048.04.18.1509996 W001.43.24.4949988 F
N048.04.06.0650004 W001.43.51.9729996 G
N048.03.59.7060 W001.43.56.7000012 G
N048.03.56.5530012 W001.44.01.1860008 G
N048.03.55.1340 W001.43.56.8599996 H
N048.03.45.3340008 W001.43.55.0049988 H
N048.03.50.3430012 W001.43.52.1259996 H
N048.03.48.7010016 W001.44.05.2699992 J
N048.04.14.5639992 W001.44.26.9250 X
N048.04.17.1099984 W001.44.29.9289984 X
N048.04.20.4759984 W001.44.33.9349992 X
