N048.45.24.9739992 W003.28.15.1039992 TWR

N048.45.23.4349992 W003.28.15.3720012 Terminal

N048.45.02.3159988 W003.27.47.3910012 ACB

N048.45.28.0230012 W003.28.19.1719992 Hangars

N048.45.24.0040008 W003.28.17.7600 1

N048.45.23.4680004 W003.28.13.7190 L1

N048.45.23.3160012 W003.28.12.9969984 L2

N048.45.23.1819984 W003.28.12.2909988 L3

N048.45.22.5270 W003.28.12.5040 L4

N048.45.22.0839984 W003.28.12.6909984 L5

N048.45.21.4170012 W003.28.12.9860004 L6

N048.45.22.8700008 W003.28.13.9550016 2A

N048.45.23.0040 W003.28.13.3359996 2B

N048.45.22.3179984 W003.28.14.2179996 2C

N048.45.21.5640 W003.28.14.3810004 2B
