N047.09.46.7650008 W001.36.03.7339992 F
N047.09.41.2679988 W001.36.07.8260004 R5
N047.09.36.1370016 W001.36.15.0930 E
N047.09.31.4989992 W001.36.15.4270008 R4
N047.09.30.2749992 W001.36.19.1850012 D
N047.09.25.3630008 W001.36.20.2150008 R3
N047.09.24.3770004 W001.36.23.6390004 C
N047.09.06.5049984 W001.36.34.9729992 R2
N047.08.54.8859984 W001.36.47.0970 B
N047.08.43.8900 W001.36.52.1510004 R1
N047.08.31.0509996 W001.37.02.5039992 A
N047.09.23.0850 W001.36.14.0019984 RD
N047.09.20.8710 W001.36.16.2050004 RC
